cluster,demand,demand,rrp,rrp,export,export
,mean,std,mean,std,mean,std
1,141655.59,9309.28,42.53,19.94,12087.25,7244.41
2,160156.66,15318.19,126.29,193.69,6700.23,7075.08
3,133180.33,13331.62,39.22,22.64,15605.51,9717.94
4,159693.26,12114.22,67.13,22.97,14572.51,6711.84
5,164824.64,14676.17,76.9,31.69,11811.98,8331.8
6,191580.08,14076.02,57.18,12.64,29.39,251.1
7,196706.05,17922.68,43.43,21.57,19.89,293.02
8,125145.06,12425.02,79.64,50.38,13593.15,11994.16
9,138416.17,14691.02,88.3,58.44,27.44,428.13
10,199191.9,17425.48,75.52,26.39,404.01,1658.92
11,211972.99,24378.54,177.08,277.43,74.12,741.23
12,123318.78,11571.64,69.39,63.42,7571.75,6732.44
13,132259.72,12770.56,115.85,235.86,56.16,627.12
14,33977.0,,52.56,,0.0,
15,39485.87,5907.59,84.83,73.71,373.7,1183.43
16,36690.27,4598.2,42.24,20.08,533.97,1360.94
17,42278.96,8075.17,312.11,462.7,867.01,2072.9
18,44377.62,10978.07,198.23,246.1,554.26,1344.91
19,37703.66,4934.91,78.3,31.22,0.0,0.0
20,36698.74,4364.18,89.77,31.91,1779.57,3172.63
21,37465.38,3841.35,64.76,39.39,4455.69,3112.78
22,28230.67,2203.46,79.72,57.92,553.48,1915.27
23,29183.58,2657.03,49.02,40.28,5427.92,3970.16
24,28559.48,2048.81,62.29,34.11,0.0,0.0
25,31036.14,2270.82,55.85,33.62,5248.21,3763.37
