cluster,wind,wind,solar,solar,solar_rooftop,solar_rooftop,blackcoal,blackcoal,browncoal,browncoal,gas,gas,diesel,diesel,kerosene,kerosene,hydro,hydro,bagasse,bagasse,batterys,batterys,net_import,net_import
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
1,0.0,0.0,0.0,0.0,0.0,0.0,78.83,4.5,0.0,0.0,19.15,4.42,0.0,0.0,0.0,0.01,1.37,0.75,0.63,0.54,0.0,0.0,0.02,0.12
2,0.0,0.0,0.01,0.04,1.17,1.97,78.62,4.62,0.0,0.0,17.49,4.95,0.0,0.0,0.42,0.47,1.41,0.88,0.43,0.41,0.0,0.0,0.44,0.88
3,4.49,3.47,0.0,0.0,0.0,0.0,0.0,0.0,88.14,5.35,2.38,2.41,0.0,0.0,0.0,0.0,4.96,3.51,0.0,0.0,0.0,0.0,0.02,0.12
4,0.73,1.0,2.38,2.18,5.26,1.68,79.8,4.98,0.0,0.0,10.01,3.51,0.0,0.0,0.0,0.0,1.4,0.71,0.4,0.35,0.0,0.0,0.01,0.07
5,0.79,0.59,3.19,1.5,5.04,1.6,78.13,4.33,0.0,0.0,10.14,2.74,0.0,0.01,0.18,0.18,1.83,0.76,0.3,0.27,0.0,0.0,0.4,0.99
6,2.09,1.82,0.1,0.26,0.24,0.69,80.49,4.31,0.0,0.0,5.65,2.16,0.35,0.07,0.0,0.0,3.92,2.07,0.0,0.0,0.0,0.0,7.15,4.02
7,1.54,1.49,0.14,0.27,0.0,0.0,78.84,6.25,0.0,0.0,5.24,1.95,0.0,0.0,0.0,0.0,3.5,2.37,-0.0,0.0,0.0,0.0,10.73,5.41
8,8.17,5.54,0.03,0.06,2.76,1.19,0.0,0.0,79.75,6.16,4.25,4.1,0.0,0.0,0.0,0.0,4.99,3.61,0.0,0.0,0.0,0.0,0.06,0.26
9,5.35,4.21,0.04,0.09,1.83,1.89,0.0,0.0,74.95,8.41,6.25,4.54,0.0,0.0,0.0,0.0,6.61,3.55,0.0,0.0,0.0,0.0,4.97,2.79
10,4.62,3.0,1.61,0.93,3.42,1.46,77.82,6.27,0.0,0.0,2.42,2.15,0.0,0.0,0.0,0.0,3.59,1.97,-0.0,0.0,0.0,0.0,6.52,4.44
11,3.63,2.53,1.06,0.78,2.38,1.83,72.08,7.32,0.0,0.0,5.1,2.52,0.01,0.02,0.03,0.03,5.32,3.0,0.0,0.0,0.0,0.0,10.38,5.08
12,12.42,6.78,1.34,0.57,5.2,1.97,0.0,0.0,73.94,5.84,3.22,3.11,0.0,0.0,0.0,0.0,3.71,2.72,0.0,0.0,0.04,0.02,0.13,0.39
13,8.97,6.13,1.21,0.53,4.03,1.93,0.0,0.0,65.7,6.69,7.42,4.37,0.0,0.0,0.0,0.0,6.04,3.52,0.0,0.0,0.05,0.02,6.57,3.51
14,15.32,,0.0,,0.0,,0.0,,26.49,,39.15,,1.43,,0.0,,0.0,,0.0,,0.0,,17.61,
15,23.52,14.44,0.0,0.0,0.0,0.0,0.0,0.0,18.6,10.41,43.26,11.31,0.17,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.45,11.01
16,29.4,16.76,0.0,0.0,0.0,0.0,0.0,0.0,19.39,10.28,39.83,11.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.38,10.34
17,23.41,12.2,1.04,1.46,7.96,5.11,0.0,0.0,0.27,1.91,56.4,11.38,0.96,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,9.96,9.96
18,25.91,12.02,3.4,1.92,11.61,5.36,0.0,0.0,0.0,0.0,53.14,10.79,0.41,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.06,5.41,6.89
19,26.18,13.85,3.17,1.64,11.34,4.99,0.0,0.0,0.0,0.0,47.34,14.49,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05,11.93,7.72
20,34.54,18.35,0.0,0.02,6.63,4.09,0.0,0.0,0.0,0.0,46.28,15.15,0.04,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.51,12.86
21,45.75,18.08,2.6,1.42,9.62,4.43,0.0,0.0,0.0,0.0,41.92,16.75,0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.06,0.26
22,7.43,5.49,0.0,0.0,0.76,0.88,0.0,0.0,0.0,0.0,17.05,3.96,0.0,0.0,0.0,0.0,60.4,14.24,0.0,0.0,0.0,0.0,14.35,12.31
23,5.1,4.08,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,14.06,3.67,0.0,0.0,0.0,0.0,80.78,6.1,0.0,0.0,0.0,0.0,0.06,0.19
24,10.09,6.42,0.0,0.0,0.89,1.1,0.0,0.0,0.0,0.0,0.72,1.33,0.0,0.0,0.0,0.0,66.17,13.98,0.0,0.0,0.0,0.0,22.13,12.69
25,9.04,5.53,0.0,0.0,0.63,0.76,0.0,0.0,0.0,0.0,0.63,1.07,0.0,0.0,0.0,0.0,89.67,5.64,0.0,0.0,0.0,0.0,0.04,0.14
